"","id","player.name","xA","play_pattern.name","pass.length","pass.angle","pass.height.name","pass.body_part.name","start.X","start.Y","end.X","end.Y","startDist","endDist","pass.outcome"
"303","bdaec1e8-b743-4128-b5ec-a82b1d95cf28","Rachel Rowe",0.023957841,"From Throw In",9.7252245,1.4987563,"Ground Pass","Right Foot",91.6,16.6,92.3,26.3,36.7983695290974,30.9027506866298,"No goal"
"492","fd1f9f4a-3ed5-4797-8160-70a588729ad5","Remi Allen",0.29257497,"Regular Play",15.156847,1.21357,"High Pass","Head",106.6,30.1,111.9,44.3,16.6604321672639,9.17060521448829,"No goal"
"760","910f8e78-7b3d-4f00-9874-216fd5176be4","Amalie Vevle Eikeland",0.058803283,"From Free Kick",3.8832977,-0.60228735,"High Pass","Head",105.2,44.3,108.4,42.1,15.4120083052145,11.7885537705013,"Goal"
"832","afb3671e-2658-4139-a047-b7dec26cd247","Jade Moore",0.22572555,"From Throw In",24.5153,-1.7761917,"Low Pass","Right Foot",116.4,70.6,111.4,46.6,30.8110369835226,10.8406641862941,"No goal"
"1431","a151418f-f5f1-4598-8913-51717d59c835","Jade Moore",0.41332054,"Regular Play",16.54237,-1.3390133,"Low Pass","Right Foot",110.9,56.3,114.7,40.2,18.6681547025945,5.30377224247044,"No goal"
"1657","99970782-23ea-4bd5-8d4d-ab03a58f9661","Fara Williams",0.029001765,"From Free Kick",23.67805,0.22141746,"Low Pass","Right Foot",75.5,17.7,98.6,22.9,49.7748932695993,27.3928822871928,"No goal"
"1767","1a3b13d8-aad4-4358-a160-cb6a18c4c7ae","Remi Allen",0.086134,"From Keeper",41.046803,-0.3171281,"High Pass","Right Foot",48,58.7,87,45.9,74.3887760350982,33.5232754962877,"No goal"
"1968","b63f95bc-1206-4be2-b250-e0d523558779","Jade Moore",0.31610504,"From Counter",55.986607,-0.34434557,"High Pass","Right Foot",26,72.8,78.7,53.9,99.5582241705827,43.576369743245,"Goal"
"2700","e398bf0f-f059-4f09-abdc-d3aebb671d32","Rachel Rowe",0.261879,"Regular Play",16.03122,-0.5810823,"Ground Pass","Right Foot",91.3,36.9,104.7,28.1,28.8669361034385,19.3829822266853,"No goal"
"3093","2975780a-1599-483a-828b-0a54cda44b4f","Keira Walsh",0.116677836,"From Corner",35.833645,-1.9782531,"Ground Pass","Left Foot",120,80,105.8,47.1,40,15.8760826402485,"No goal"
"3104","80685559-b412-4a20-aa11-64cdefd830ea","Jill Scott",0.06016142,"From Corner",4.427189,2.819842,"Ground Pass","Right Foot",104.7,38,100.5,39.4,15.4301652615907,19.5092285854669,"No goal"
"3410","7c8d2f36-e660-4777-9edc-7066e1e4b57e","Katie McCabe",0.05458994,"Regular Play",23.631546,1.2209407,"Low Pass","Left Foot",92.9,4,101,26.2,45.0600710163666,23.4827596333991,"No goal"
"3521","c608b555-4623-4075-9e46-392e7609d5c6","Jordan Nobbs",0.08282943,"Regular Play",18.597042,-1.7164956,"Low Pass","Right Foot",105.5,58.9,102.8,40.5,23.8214189333885,17.2072659071684,"No goal"
"4604","886ac3b4-5b98-404d-bb83-6e366190ce2f","Ellen White",0.07750279,"Regular Play",33.02802,-1.7319629,"High Pass","Right Foot",116.7,72.6,111.4,40,32.7665988469966,8.59999999999999,"No goal"
"4760","caf9bf1b-d613-4887-89d3-e81b23376cde","Caroline Weir",0.016291393,"Regular Play",22.62145,1.4020139,"Ground Pass","Left Foot",86.8,28.8,90.6,51.1,35.0382647972185,31.425626485402,"No goal"
